tx1,tx2,tx3,tx4,quartet,obsCF,expCF_net0,expCF_net1
10,12,4,1,13_24,3.66666666666667e-5,0.0015051123714321228,0.0013314534298364622
10,12,4,1,14_23,2.0e-5,0.0015051123714321228,0.0013314534298364622
10,12,2,6,12_34,0.999996666666667,0.9996063530839049,0.999651775139102
10,12,2,6,13_24,3.33333333333333e-6,0.0001968234580475299,0.00017411243044901522
10,12,2,6,14_23,0.0,0.0001968234580475299,0.00017411243044901522
10,12,7,2,12_34,0.287576666666667,0.17493148272535045,0.3097976340917461
10,12,7,2,13_24,0.56981,0.6501370345492992,0.5650641763426723
10,12,7,2,14_23,0.142613333333333,0.17493148272535045,0.12513818956558168
10,12,5,2,12_34,0.999996666666667,0.9996063530839049,0.999651775139102
10,12,5,2,13_24,0.0,0.0001968234580475299,0.00017411243044901522
10,12,5,2,14_23,0.0,0.0001968234580475299,0.00017411243044901522
10,12,8,14,12_34,0.231123333333333,0.12722358668021233,0.24523029005699892
10,12,8,14,13_24,0.72831,0.7455528266395753,0.6941988644121665
10,12,8,14,14_23,0.0405666666666667,0.12722358668021233,0.060570845530834534
10,12,4,15,12_34,0.999963333333333,0.9969897752571357,0.997337093140327
10,12,4,15,13_24,2.33333333333333e-5,0.0015051123714321228,0.0013314534298364622
10,12,4,15,14_23,1.0e-5,0.0015051123714321228,0.0013314534298364622
10,12,7,13,12_34,0.00697333333333333,0.005376011724542865,0.00900400546816435
10,12,7,13,13_24,0.990133333333333,0.9892479765509142,0.9819919890636712
10,12,7,13,14_23,0.00289333333333333,0.005376011724542865,0.00900400546816435
10,11,7,6,12_34,0.397616666666667,0.17493148272535045,0.3882220573783106
10,11,7,6,13_24,0.500116666666667,0.6501370345492992,0.5258519646993899
10,11,7,6,14_23,0.102266666666667,0.17493148272535045,0.0859259779222994
10,12,3,13,12_34,0.00800333333333333,0.010244033150936442,0.01283367999811319
10,12,3,13,13_24,0.975226666666667,0.9795119336981272,0.9743326400037736
10,12,3,13,14_23,0.0167733333333333,0.010244033150936442,0.01283367999811319
10,12,7,5,12_34,0.287576666666667,0.17493148272535045,0.3097976340917461
10,12,7,5,13_24,0.56981,0.6501370345492992,0.5650641763426723
10,12,7,5,14_23,0.142613333333333,0.17493148272535045,0.12513818956558168
10,12,13,9,12_34,0.00693,0.003909847918599394,0.0073177769637208945
10,12,13,9,13_24,0.00661,0.003909847918599394,0.0073177769637208945
10,12,13,9,14_23,0.98646,0.9921803041628012,0.9853644460725582
10,12,1,15,12_34,1.0,0.9991426116827589,0.9992415875164978
10,12,1,15,13_24,0.0,0.0004286941586205418,0.00037920624175107124
10,12,1,15,14_23,0.0,0.0004286941586205418,0.00037920624175107124
10,12,8,2,12_34,0.231126666666667,0.12722358668021233,0.24523029005699892
10,12,8,2,13_24,0.728303333333333,0.7455528266395753,0.6941988644121665
10,12,8,2,14_23,0.04057,0.12722358668021233,0.060570845530834534
10,12,5,3,12_34,0.999996666666667,0.9996063530839049,0.999651775139102
10,12,5,3,13_24,0.0,0.0001968234580475299,0.00017411243044901522
10,12,5,3,14_23,0.0,0.0001968234580475299,0.00017411243044901522
10,12,3,9,12_34,0.236716666666667,0.12722358668021233,0.24523029005699892
10,12,3,9,13_24,0.0537466666666667,0.12722358668021233,0.060570845530834534
10,12,3,9,14_23,0.70954,0.7455528266395753,0.6941988644121665
10,11,4,3,12_34,1.0,0.9996063530839049,0.9997020167228916
10,11,4,3,13_24,0.0,0.0001968234580475299,0.00014899163855417805
